# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes

Iteration  11: 8014.925 ops/ms
Iteration  12: 8006.327 ops/ms
Iteration  13: 8007.807 ops/ms
Iteration  14: 8013.727 ops/ms
Iteration  15: 8010.698 ops/ms
Iteration  16: 6856.575 ops/ms
Iteration  17: 7868.930 ops/ms
Iteration  18: 8013.719 ops/ms
Iteration  19: 8003.593 ops/ms
Iteration  20: 8008.983 ops/ms

# Run progress: 50.00% complete, ETA 00:03:22
# Fork: 6 of 10
# Warmup Iteration   1: 4211.711 ops/ms
# Warmup Iteration   2: 7774.874 ops/ms
# Warmup Iteration   3: 6813.000 ops/ms
# Warmup Iteration   4: 7154.765 ops/ms
# Warmup Iteration   5: 6765.142 ops/ms
# Warmup Iteration   6: 7204.074 ops/ms
# Warmup Iteration   7: 7904.156 ops/ms
# Warmup Iteration   8: 7840.746 ops/ms
# Warmup Iteration   9: 7901.379 ops/ms
# Warmup Iteration  10: 7909.346 ops/ms
# Warmup Iteration  11: 7895.644 ops/ms
# Warmup Iteration  12: 7912.466 ops/ms
# Warmup Iteration  13: 7905.563 ops/ms
# Warmup Iteration  14: 7905.651 ops/ms
# Warmup Iteration  15: 7906.571 ops/ms
# Warmup Iteration  16: 7905.456 ops/ms
# Warmup Iteration  17: 7913.392 ops/ms
# Warmup Iteration  18: 7918.539 ops/ms
# Warmup Iteration  19: 7916.291 ops/ms
# Warmup Iteration  20: 7923.841 ops/ms
Iteration   1: 7910.509 ops/ms
Iteration   2: 7911.519 ops/ms
Iteration   3: 7916.482 ops/ms
Iteration   4: 7900.416 ops/ms
Iteration   5: 7910.192 ops/ms
Iteration   6: 7917.620 ops/ms
Iteration   7: 7912.056 ops/ms
Iteration   8: 7919.928 ops/ms
Iteration   9: 7913.284 ops/ms
Iteration  10: 7909.329 ops/ms
Iteration  11: 7920.277 ops/ms
Iteration  12: 7907.999 ops/ms
Iteration  13: 7913.495 ops/ms
Iteration  14: 7917.282 ops/ms
Iteration  15: 7910.298 ops/ms
Iteration  16: 7921.564 ops/ms
Iteration  17: 7916.882 ops/ms
Iteration  18: 7917.325 ops/ms
Iteration  19: 7923.204 ops/ms
Iteration  20: 7906.238 ops/ms

# Run progress: 60.00% complete, ETA 00:02:41
# Fork: 7 of 10
# Warmup Iteration   1: 4762.843 ops/ms
# Warmup Iteration   2: 7191.518 ops/ms
# Warmup Iteration   3: 7807.564 ops/ms
# Warmup Iteration   4: 7888.029 ops/ms
# Warmup Iteration   5: 7868.250 ops/ms
# Warmup Iteration   6: 7952.846 ops/ms
# Warmup Iteration   7: 7937.547 ops/ms
# Warmup Iteration   8: 7942.066 ops/ms
# Warmup Iteration   9: 7951.184 ops/ms
# Warmup Iteration  10: 7943.278 ops/ms
# Warmup Iteration  11: 7941.844 ops/ms
# Warmup Iteration  12: 7956.134 ops/ms
# Warmup Iteration  13: 7950.984 ops/ms
# Warmup Iteration  14: 7197.402 ops/ms
# Warmup Iteration  15: 7947.107 ops/ms
# Warmup Iteration  16: 7955.504 ops/ms
# Warmup Iteration  17: 7939.733 ops/ms
# Warmup Iteration  18: 7942.284 ops/ms
# Warmup Iteration  19: 7953.394 ops/ms
# Warmup Iteration  20: 7942.294 ops/ms
Iteration   1: 7943.056 ops/ms
Iteration   2: 7947.504 ops/ms
Iteration   3: 7935.693 ops/ms
Iteration   4: 7938.047 ops/ms
Iteration   5: 7942.195 ops/ms
Iteration   6: 7944.998 ops/ms
Iteration   7: 7950.016 ops/ms
Iteration   8: 7943.572 ops/ms
Iteration   9: 7940.168 ops/ms
Iteration  10: 7953.024 ops/ms
Iteration  11: 7943.058 ops/ms
Iteration  12: 7942.813 ops/ms
Iteration  13: 7951.074 ops/ms
Iteration  14: 7946.098 ops/ms
Iteration  15: 7941.507 ops/ms
Iteration  16: 7951.111 ops/ms
Iteration  17: 7033.288 ops/ms
Iteration  18: 7944.830 ops/ms
Iteration  19: 7944.227 ops/ms
Iteration  20: 6763.097 ops/ms

# Run progress: 70.00% complete, ETA 00:02:01
# Fork: 8 of 10
# Warmup Iteration   1: 3926.100 ops/ms
# Warmup Iteration   2: 7706.820 ops/ms
# Warmup Iteration   3: 7008.934 ops/ms
# Warmup Iteration   4: 7767.470 ops/ms
# Warmup Iteration   5: 7787.438 ops/ms
# Warmup Iteration   6: 7793.774 ops/ms
# Warmup Iteration   7: 7796.027 ops/ms
# Warmup Iteration   8: 7787.180 ops/ms
# Warmup Iteration   9: 7795.919 ops/ms
# Warmup Iteration  10: 7789.613 ops/ms
# Warmup Iteration  11: 7788.805 ops/ms
# Warmup Iteration  12: 7798.854 ops/ms
# Warmup Iteration  13: 7044.259 ops/ms
