# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.baseline

# Run progress: 0.00% complete, ETA 00:06:40
# Fork: 1 of 10
# Warmup Iteration   1: 24063.506 ops/ms
# Warmup Iteration   2: 25129.879 ops/ms
# Warmup Iteration   3: 25206.133 ops/ms
# Warmup Iteration   4: 26856.027 ops/ms
# Warmup Iteration   5: 20608.055 ops/ms
# Warmup Iteration   6: 24581.122 ops/ms
# Warmup Iteration   7: 25109.929 ops/ms
# Warmup Iteration   8: 23644.627 ops/ms
# Warmup Iteration   9: 26859.919 ops/ms
# Warmup Iteration  10: 26858.721 ops/ms
# Warmup Iteration  11: 26866.165 ops/ms
# Warmup Iteration  12: 26845.354 ops/ms
# Warmup Iteration  13: 26839.035 ops/ms
# Warmup Iteration  14: 26841.762 ops/ms
# Warmup Iteration  15: 26841.715 ops/ms
# Warmup Iteration  16: 26859.045 ops/ms
# Warmup Iteration  17: 26833.122 ops/ms
# Warmup Iteration  18: 25142.352 ops/ms
# Warmup Iteration  19: 25296.099 ops/ms
# Warmup Iteration  20: 26810.003 ops/ms
# Warmup Iteration   7: 26852.488 ops/ms
# Warmup Iteration   8: 26857.611 ops/ms
# Warmup Iteration   9: 26855.729 ops/ms
# Warmup Iteration  10: 26856.337 ops/ms
# Warmup Iteration  11: 26876.259 ops/ms
# Warmup Iteration  12: 26882.977 ops/ms
# Warmup Iteration  13: 26877.572 ops/ms
# Warmup Iteration  14: 26880.325 ops/ms
# Warmup Iteration  15: 26890.415 ops/ms
# Warmup Iteration  16: 26885.283 ops/ms
# Warmup Iteration  17: 26836.233 ops/ms
# Warmup Iteration  18: 26841.617 ops/ms
# Warmup Iteration  19: 26845.695 ops/ms
# Warmup Iteration  20: 26827.832 ops/ms
Iteration   1: 26825.980 ops/ms
Iteration   2: 26839.113 ops/ms
Iteration   3: 26836.355 ops/ms
Iteration   4: 26845.770 ops/ms
Iteration   5: 26841.097 ops/ms
Iteration   6: 26812.579 ops/ms
Iteration   7: 26812.154 ops/ms
Iteration   8: 26825.690 ops/ms
Iteration   9: 26817.647 ops/ms
Iteration  10: 26832.736 ops/ms
Iteration  11: 26774.396 ops/ms
Iteration  12: 23630.508 ops/ms
Iteration  13: 22690.746 ops/ms
Iteration  14: 24943.750 ops/ms
Iteration  15: 26840.695 ops/ms
Iteration  16: 26842.328 ops/ms
Iteration  17: 26824.274 ops/ms
Iteration  18: 26834.229 ops/ms
Iteration  19: 26843.155 ops/ms
Iteration  20: 26838.160 ops/ms

# Run progress: 60.00% complete, ETA 00:02:41
# Fork: 7 of 10
# Warmup Iteration   1: 24388.802 ops/ms
# Warmup Iteration   2: 26688.694 ops/ms
# Warmup Iteration   3: 25235.455 ops/ms
# Warmup Iteration   4: 22720.261 ops/ms
# Warmup Iteration   5: 22960.805 ops/ms
# Warmup Iteration   6: 26772.507 ops/ms
# Warmup Iteration   7: 26843.869 ops/ms
# Warmup Iteration   8: 26856.921 ops/ms
# Warmup Iteration   9: 22893.887 ops/ms
# Warmup Iteration  10: 19343.213 ops/ms
# Warmup Iteration  11: 18595.180 ops/ms
# Warmup Iteration  12: 21931.269 ops/ms
# Warmup Iteration  13: 26619.367 ops/ms
# Warmup Iteration  14: 26881.313 ops/ms
# Warmup Iteration  15: 25211.351 ops/ms
# Warmup Iteration  16: 25545.235 ops/ms
# Warmup Iteration  17: 26610.927 ops/ms
# Warmup Iteration  18: 26824.586 ops/ms
# Warmup Iteration  19: 25203.040 ops/ms
# Warmup Iteration  20: 25476.333 ops/ms
Iteration   1: 26817.970 ops/ms
Iteration   2: 23863.805 ops/ms
Iteration   3: 24036.693 ops/ms
Iteration   4: 26840.229 ops/ms
Iteration   5: 26841.722 ops/ms
Iteration   6: 26618.022 ops/ms
Iteration   7: 25185.227 ops/ms
Iteration   8: 25382.904 ops/ms
Iteration   9: 26833.570 ops/ms
Iteration  10: 23968.078 ops/ms
Iteration  11: 22646.563 ops/ms
Iteration  12: 24325.528 ops/ms
Iteration  13: 26841.671 ops/ms
Iteration  14: 26824.989 ops/ms
Iteration  15: 25166.323 ops/ms
Iteration  16: 25466.180 ops/ms
Iteration  17: 26809.127 ops/ms
Iteration  18: 26791.684 ops/ms
Iteration  19: 25411.911 ops/ms
Iteration  20: 22706.877 ops/ms

# Run progress: 70.00% complete, ETA 00:02:01
# Fork: 8 of 10
# Warmup Iteration   1: 23885.687 ops/ms
# Warmup Iteration   2: 26734.716 ops/ms
# Warmup Iteration   3: 26880.414 ops/ms
# Warmup Iteration   4: 26870.168 ops/ms
# Warmup Iteration   5: 26877.824 ops/ms
# Warmup Iteration   6: 26854.058 ops/ms
# Warmup Iteration   7: 26884.887 ops/ms
# Warmup Iteration   8: 26868.483 ops/ms
# Warmup Iteration   9: 26846.824 ops/ms
# Warmup Iteration  10: 26438.855 ops/ms
# Warmup Iteration  11: 23769.583 ops/ms
# Warmup Iteration  12: 26563.658 ops/ms
# Warmup Iteration  13: 26843.538 ops/ms
# Warmup Iteration  14: 26875.223 ops/ms
# Warmup Iteration  15: 26876.219 ops/ms
