Benchmark Mode,Measurement Unit,Package,Class,Method,Full params,,Original,Fixed,Factor,Wilcoxom,Cliffs Delta Size,Cliffs Delta d
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 5)",0,4861241635.0,4832588314.0,0.9941057608011703,False,negligible,-0.0024526817529732983
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 6)",0,4534376189.0,4619857834.0,1.018851908495676,True,small,-0.19841448583397145
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 1)",0,3963334.1675,3995564.5089999996,1.0081321281874978,False,negligible,-0.02794010226442659
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 2)",0,4250956.6465,4373694.047499999,1.0288728893768075,False,negligible,-0.01266654156502158
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 3)",0,4679408.4285,4640256.3705,0.9916331180322828,False,negligible,-0.044010226442658874
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 4)",0,5191206.535,5219282.92,1.0054084507735734,False,negligible,0.004999774784919598
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 5)",0,166410578.667,167460550.917,1.0063095282668362,True,small,-0.23365595325054783
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 6)",0,163547065.9165,163240872.3335,0.9981277953151643,False,negligible,0.09091762056671045
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 1)",0,4152763.328,4143418.992,0.9977498510601372,False,negligible,-0.011245314452311536
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 2)",0,4410670.927,4479377.320499999,1.0155773111703736,False,negligible,-0.13492212422593358
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 3)",0,4807234.409,4675884.18,0.9726765500026191,False,negligible,0.030133333333333335
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 4)",0,5377332.072,5225802.382,0.9718206560481877,False,negligible,0.014700511322132943
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 5)",0,271150999.5,271727921.75,1.0021276788618292,False,negligible,-0.0695111111111111
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 6)",0,266361338.75,266452390.125,1.0003418340492929,False,negligible,-0.0323469387755102
"Average time, time/op",ns/op, hex.tree.gbm,GbmMojoScoringBench,measureGbmScore0, (rows = 1000),0,4667162.149499999,4670897.066500001,1.000800254390219,False,negligible,0.13464506172839505
"Average time, time/op",ns/op, hex.tree.gbm,GbmMojoScoringBench,measureGbmScore0, (rows = 100000),0,470211325.667,469154968.0,0.9977534406141716,True,small,0.2974223703086677
