,Benchmark Mode,Class,Cliffs Delta Size,Cliffs Delta d,Experiment,Factor,Fixed,Full params,Measurement Unit,Method,Original,Package,Project,Unnamed: 6,Wilcoxom,New Factor
28,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.756978073,36.422, (exampleHeader = EIGHT),ns/op,http2Iterate,48.115, io.netty.microbench.headers,netty,0,TRUE,-1.321042227
29,"Average time, time/op",HeadersBenchmark,large,0.999583333,INVO,0.830196058,48.823, (exampleHeader = ELEVEN),ns/op,http2Iterate,58.809, io.netty.microbench.headers,netty,0,TRUE,-1.204534748
30,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.616630955,23.3105, (exampleHeader = FIVE),ns/op,http2Iterate,37.803, io.netty.microbench.headers,netty,0,TRUE,-1.621715536
31,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.673276492,27.638, (exampleHeader = SIX),ns/op,http2Iterate,41.05, io.netty.microbench.headers,netty,0,TRUE,-1.485273898
33,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.477224141,14.51, (exampleHeader = THREE),ns/op,http2Iterate,30.405, io.netty.microbench.headers,netty,0,TRUE,-2.095451413
34,"Average time, time/op",HeadersBenchmark,medium,-0.406487564,INVO,1.005025437,97.194, (exampleHeader = TWENTYTWO),ns/op,http2Iterate,96.708, io.netty.microbench.headers,netty,0,TRUE,1.005025437
35,"Average time, time/op",HeadersBenchmark,negligible,0.04200542,INVO,0.963698227,147.282, (exampleHeader = EIGHT),ns/op,http2Put,152.83, io.netty.microbench.headers,netty,0,TRUE,-1.037669233
36,"Average time, time/op",HeadersBenchmark,small,0.223020833,INVO,0.911934424,180.9515, (exampleHeader = ELEVEN),ns/op,http2Put,198.426, io.netty.microbench.headers,netty,0,FALSE,-1.096570075
37,"Average time, time/op",HeadersBenchmark,medium,-0.353625487,INVO,12.07561937,1286.778, (exampleHeader = FIVE),ns/op,http2Put,106.56, io.netty.microbench.headers,netty,0,TRUE,12.07561937
38,"Average time, time/op",HeadersBenchmark,medium,-0.382582898,INVO,4.832394448,585.894, (exampleHeader = SIX),ns/op,http2Put,121.243, io.netty.microbench.headers,netty,0,TRUE,4.832394448
40,"Average time, time/op",HeadersBenchmark,medium,-0.33856977,INVO,3.425613716,263.738, (exampleHeader = THREE),ns/op,http2Put,76.99, io.netty.microbench.headers,netty,0,TRUE,3.425613716
41,"Average time, time/op",HeadersBenchmark,large,0.719967751,INVO,0.93091435,332.14, (exampleHeader = TWENTYTWO),ns/op,http2Put,356.789, io.netty.microbench.headers,netty,0,TRUE,-1.074212681
42,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.654158698,37.795, (exampleHeader = EIGHT),ns/op,http2Remove,57.7765, io.netty.microbench.headers,netty,0,TRUE,-1.528681042
43,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.715011279,51.666, (exampleHeader = ELEVEN),ns/op,http2Remove,72.259, io.netty.microbench.headers,netty,0,TRUE,-1.398579337
44,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.560818665,23.8805, (exampleHeader = FIVE),ns/op,http2Remove,42.5815, io.netty.microbench.headers,netty,0,TRUE,-1.783107556
45,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.613870547,29.192, (exampleHeader = SIX),ns/op,http2Remove,47.554, io.netty.microbench.headers,netty,0,TRUE,-1.629007947
47,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.438363141,14.633, (exampleHeader = THREE),ns/op,http2Remove,33.381, io.netty.microbench.headers,netty,0,TRUE,-2.281213695
48,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.811001667,102.672, (exampleHeader = TWENTYTWO),ns/op,http2Remove,126.599, io.netty.microbench.headers,netty,0,TRUE,-1.233043089
49,"Average time, time/op",HeadersBenchmark,large,0.979567653,INVO,0.939913492,372.671, (exampleHeader = EIGHT),ns/op,httpAddAllFast,396.495, io.netty.microbench.headers,netty,0,TRUE,-1.0639277
50,"Average time, time/op",HeadersBenchmark,large,0.957654913,INVO,0.97818935,484.057, (exampleHeader = ELEVEN),ns/op,httpAddAllFast,494.85, io.netty.microbench.headers,netty,0,TRUE,-1.022296961
51,"Average time, time/op",HeadersBenchmark,large,0.999712726,INVO,0.906747654,181.379, (exampleHeader = FIVE),ns/op,httpAddAllFast,200.0325, io.netty.microbench.headers,netty,0,TRUE,-1.102842666
