Benchmark Mode,Measurement Unit,Package,Class,Method,Full params,,Factor,Fixed,Original
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = enumerate, strategy = lz4)",0,1.001616031,3.099,3.094
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = enumerate, format = longs, strategy = lz4)",0,1.001265823,4.746,4.74
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = zipfHigh, strategy = lz4)",0,1.001123175,5.348,5.342
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = uniform, format = longs, strategy = lz4)",0,1.000706769,12.743,12.734
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = zipfLow, format = longs, strategy = lz4)",0,1.000169296,14.7695,14.767
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = sequential, format = longs, strategy = lz4)",0,0.999687908,35.235,35.246
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = uniform, strategy = lz4)",0,0.997206704,2.142,2.148
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = sequential, strategy = lz4)",0,0,3.923,3.922
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = zipfLow, strategy = lz4)",0,0,9.833,9.834
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = enumerate, format = longs, strategy = none)",0,0,0.239,0.235
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = uniform, format = longs, strategy = none)",0,0,0.239,0.235
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = zipfHigh, format = longs, strategy = lz4)",0,0,6.736,6.734
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = zipfHigh, format = longs, strategy = none)",0,0,0.239,0.235
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = zipfLow, format = longs, strategy = none)",0,0,0.239,0.2345
