# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1GetBytes

# Warmup Iteration  16: 7864.961 ops/ms
# Warmup Iteration  17: 7879.755 ops/ms
# Warmup Iteration  18: 7868.998 ops/ms
# Warmup Iteration  19: 7865.388 ops/ms
# Warmup Iteration  20: 7873.381 ops/ms
Iteration   1: 7869.215 ops/ms
Iteration   2: 7877.435 ops/ms
Iteration   3: 7866.655 ops/ms
Iteration   4: 7863.131 ops/ms
Iteration   5: 7871.419 ops/ms
Iteration   6: 7864.530 ops/ms
Iteration   7: 7874.093 ops/ms
Iteration   8: 7870.423 ops/ms
Iteration   9: 7883.304 ops/ms
Iteration  10: 7880.023 ops/ms
Iteration  11: 7865.779 ops/ms
Iteration  12: 7765.807 ops/ms
Iteration  13: 7882.915 ops/ms
Iteration  14: 7873.934 ops/ms
Iteration  15: 7885.743 ops/ms
Iteration  16: 7877.515 ops/ms
Iteration  17: 7887.331 ops/ms
Iteration  18: 7871.233 ops/ms
Iteration  19: 7863.309 ops/ms
Iteration  20: 7881.658 ops/ms


Result "org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1GetBytes":
  7822.983 ±(99.9%) 51.833 ops/ms [Average]
  (min, avg, max) = (6683.010, 7822.983, 7974.904), stdev = 219.464
  CI (99.9%): [7771.150, 7874.816] (assumes normal distribution)


# Run complete. Total time: 00:06:44

Benchmark                                                       Mode  Cnt     Score    Error   Units
AbstractStringLayoutStringEncodingBenchmark.iso8859_1GetBytes  thrpt  200  7822.983 ± 51.833  ops/ms

Benchmark result is saved to log4j2/exp-RETU-STAT-out/log4j-fixed-antipatters-RETU-STAT_AbstractStringLayoutStringEncodingBenchmark_iso8859_1GetBytes_retu_trial1.csv
