# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.LoggerConfigBenchmark.logWithCountersAndLock

# Warmup Iteration   1: 18888284.292 ops/s
# Warmup Iteration   2: 21437298.376 ops/s
# Warmup Iteration   3: 21626804.254 ops/s
# Warmup Iteration   4: 20275901.012 ops/s
# Warmup Iteration   5: 19924364.644 ops/s
# Warmup Iteration   6: 21630295.490 ops/s
# Warmup Iteration   7: 21499943.502 ops/s
# Warmup Iteration   8: 21631231.006 ops/s
# Warmup Iteration   9: 20267733.065 ops/s
# Warmup Iteration  10: 18318189.698 ops/s
# Warmup Iteration  11: 19785142.261 ops/s
# Warmup Iteration  12: 21627421.504 ops/s
# Warmup Iteration  13: 21481114.472 ops/s
# Warmup Iteration  14: 21607666.990 ops/s
# Warmup Iteration  15: 21642765.623 ops/s
# Warmup Iteration  16: 20295027.157 ops/s
# Warmup Iteration  17: 18320611.580 ops/s
# Warmup Iteration  18: 19945052.350 ops/s
# Warmup Iteration  19: 21638695.660 ops/s
# Warmup Iteration  20: 21646249.058 ops/s
Iteration   1: 21651704.564 ops/s
Iteration   2: 20315081.029 ops/s
Iteration   3: 18323864.154 ops/s
Iteration   4: 19893058.071 ops/s
Iteration   5: 21631716.431 ops/s
Iteration   6: 20494262.495 ops/s
Iteration   7: 18323603.444 ops/s
Iteration   8: 19936437.629 ops/s
Iteration   9: 21633864.183 ops/s
Iteration  10: 21639036.162 ops/s
Iteration  11: 18363212.542 ops/s
Iteration  12: 19397863.486 ops/s
Iteration  13: 19032982.971 ops/s
Iteration  14: 18322692.506 ops/s
Iteration  15: 20781406.448 ops/s
Iteration  16: 20277314.774 ops/s
Iteration  17: 20193447.934 ops/s
Iteration  18: 20336794.266 ops/s
Iteration  19: 19938751.525 ops/s
Iteration  20: 20330155.012 ops/s

# Run progress: 14.00% complete, ETA 00:28:57
# Fork: 8 of 10
# Warmup Iteration   1: 18277814.144 ops/s
# Warmup Iteration   2: 20520616.910 ops/s
# Warmup Iteration   3: 20968988.943 ops/s
# Warmup Iteration   4: 21000455.407 ops/s
# Warmup Iteration   5: 21005333.843 ops/s
# Warmup Iteration   6: 20944314.755 ops/s
# Warmup Iteration   7: 20878214.007 ops/s
# Warmup Iteration   8: 20912155.465 ops/s
# Warmup Iteration   9: 20749851.886 ops/s
# Warmup Iteration  10: 20947499.646 ops/s
# Warmup Iteration  11: 21012368.824 ops/s
# Warmup Iteration  12: 20986329.024 ops/s
# Warmup Iteration  13: 20975496.603 ops/s
# Warmup Iteration  14: 20975023.816 ops/s
# Warmup Iteration  15: 21008662.218 ops/s
# Warmup Iteration  16: 20979880.136 ops/s
# Warmup Iteration  17: 21055100.534 ops/s
# Warmup Iteration  18: 20983334.241 ops/s
# Warmup Iteration  19: 20905873.271 ops/s
# Warmup Iteration  20: 20992939.595 ops/s
Iteration   1: 19398798.229 ops/s
Iteration   2: 13751622.734 ops/s
Iteration   3: 19312885.555 ops/s
Iteration   4: 20966316.081 ops/s
Iteration   5: 21103173.508 ops/s
Iteration   6: 20980659.550 ops/s
Iteration   7: 20913358.216 ops/s
Iteration   8: 20960870.198 ops/s
Iteration   9: 21068970.799 ops/s
Iteration  10: 20983599.612 ops/s
Iteration  11: 20982542.031 ops/s
Iteration  12: 21001026.449 ops/s
Iteration  13: 20833755.395 ops/s
Iteration  14: 21007937.591 ops/s
Iteration  15: 21107196.741 ops/s
Iteration  16: 19790481.363 ops/s
Iteration  17: 19319663.029 ops/s
Iteration  18: 21093749.947 ops/s
Iteration  19: 21117503.817 ops/s
Iteration  20: 21083792.892 ops/s

# Run progress: 16.00% complete, ETA 00:28:17
# Fork: 9 of 10
# Warmup Iteration   1: 19047492.839 ops/s
# Warmup Iteration   2: 20509246.141 ops/s
# Warmup Iteration   3: 21249557.228 ops/s
# Warmup Iteration   4: 20183009.375 ops/s
# Warmup Iteration   5: 17718453.557 ops/s
# Warmup Iteration   6: 19440647.848 ops/s
# Warmup Iteration   7: 20226179.638 ops/s
# Warmup Iteration   8: 20922865.878 ops/s
# Warmup Iteration   9: 20953369.691 ops/s
# Warmup Iteration  10: 20796640.139 ops/s
# Warmup Iteration  11: 20958935.621 ops/s
# Warmup Iteration  12: 21256105.547 ops/s
# Warmup Iteration  13: 20802799.676 ops/s
# Warmup Iteration  14: 19914485.716 ops/s
# Warmup Iteration  15: 19560317.684 ops/s
# Warmup Iteration  16: 21178788.333 ops/s
# Warmup Iteration  17: 20711204.627 ops/s
# Warmup Iteration  18: 21286830.634 ops/s
# Warmup Iteration  19: 21238694.963 ops/s
# Warmup Iteration  20: 21280682.232 ops/s
Iteration   1: 20886907.047 ops/s
Iteration   2: 19680445.568 ops/s
Iteration   3: 18789558.120 ops/s
Iteration   4: 21218312.291 ops/s
Iteration   5: 20777939.563 ops/s
Iteration   6: 19608583.144 ops/s
Iteration   7: 20206480.147 ops/s
Iteration   8: 19305045.100 ops/s
Iteration   9: 18706209.620 ops/s
Iteration  10: 19482463.272 ops/s
Iteration  11: 20168580.388 ops/s
Iteration  12: 20916417.520 ops/s
Iteration  13: 20930453.746 ops/s
Iteration  14: 19680746.614 ops/s
Iteration  15: 20152557.414 ops/s
Iteration  16: 20840460.376 ops/s
Iteration  17: 19512719.130 ops/s
Iteration  18: 17700462.696 ops/s
Iteration  19: 20497735.905 ops/s
Iteration  20: 20774161.117 ops/s

# Run progress: 18.00% complete, ETA 00:27:37
# Fork: 10 of 10
# Warmup Iteration   1: 16336238.685 ops/s
# Warmup Iteration   2: 15956491.844 ops/s
# Warmup Iteration   3: 18335545.178 ops/s
# Warmup Iteration   4: 19108393.710 ops/s
# Warmup Iteration   5: 20880596.822 ops/s
# Warmup Iteration   6: 20960514.591 ops/s
# Warmup Iteration   7: 19648757.587 ops/s
# Warmup Iteration   8: 17624650.121 ops/s
# Warmup Iteration   9: 19094970.410 ops/s
# Warmup Iteration  10: 19410957.872 ops/s
# Warmup Iteration  11: 19912499.857 ops/s
# Warmup Iteration  12: 18540090.281 ops/s
# Warmup Iteration  13: 19193645.393 ops/s
# Warmup Iteration  14: 19790177.614 ops/s
# Warmup Iteration  15: 20371499.091 ops/s
# Warmup Iteration  16: 19812196.044 ops/s
# Warmup Iteration  17: 19315435.104 ops/s
# Warmup Iteration  18: 19183418.822 ops/s
# Warmup Iteration  19: 19697867.438 ops/s
# Warmup Iteration  20: 19071948.368 ops/s
Iteration   1: 19526606.847 ops/s
Iteration   2: 17834763.384 ops/s
Iteration   3: 20219248.768 ops/s
Iteration   4: 19521760.731 ops/s
Iteration   5: 20302492.443 ops/s
Iteration   6: 20898187.298 ops/s
Iteration   7: 19645787.982 ops/s
Iteration   8: 18936376.553 ops/s
Iteration   9: 19691444.786 ops/s
Iteration  10: 18823329.658 ops/s
Iteration  11: 20951932.960 ops/s
Iteration  12: 21103639.616 ops/s
Iteration  13: 19681745.232 ops/s
Iteration  14: 17859569.173 ops/s
Iteration  15: 15139465.366 ops/s
Iteration  16: 14903359.536 ops/s
Iteration  17: 15060855.155 ops/s
Iteration  18: 14645358.697 ops/s
Iteration  19: 20177387.939 ops/s
Iteration  20: 19690213.421 ops/s


Result "org.apache.logging.log4j.perf.jmh.LoggerConfigBenchmark.logWithCountersAndLock":
  19642683.928 ±(99.9%) 437738.746 ops/s [Average]
  (min, avg, max) = (13377767.856, 19642683.928, 21651704.564), stdev = 1853413.262
  CI (99.9%): [19204945.182, 20080422.674] (assumes normal distribution)


# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.LoggerConfigBenchmark.logWithCountersNoLocks

# Run progress: 20.00% complete, ETA 00:26:56
# Fork: 1 of 10
# Warmup Iteration   1: 30321581.487 ops/s
# Warmup Iteration   2: 32638913.588 ops/s
# Warmup Iteration   3: 32384109.307 ops/s
# Warmup Iteration   4: 32603625.363 ops/s
# Warmup Iteration   5: 32567595.631 ops/s
# Warmup Iteration   6: 32569795.001 ops/s
# Warmup Iteration   7: 24158552.934 ops/s
# Warmup Iteration   8: 30383870.037 ops/s
# Warmup Iteration   9: 32593386.016 ops/s
# Warmup Iteration  10: 32592663.305 ops/s
# Warmup Iteration  11: 30697342.851 ops/s
# Warmup Iteration  12: 30026105.207 ops/s
# Warmup Iteration  13: 33113822.683 ops/s
# Warmup Iteration  14: 32682965.510 ops/s
# Warmup Iteration  15: 33285920.147 ops/s
# Warmup Iteration  16: 33276464.837 ops/s
# Warmup Iteration  17: 33365624.654 ops/s
# Warmup Iteration  18: 33372567.815 ops/s
# Warmup Iteration  19: 33366488.808 ops/s
# Warmup Iteration  20: 23841953.498 ops/s
Iteration   1: 30913986.915 ops/s
Iteration   2: 33117360.856 ops/s
Iteration   3: 33399075.226 ops/s
Iteration   4: 31213028.800 ops/s
Iteration   5: 31609273.566 ops/s
Iteration   6: 32448908.522 ops/s
Iteration   7: 31389246.159 ops/s
Iteration   8: 31021669.612 ops/s
Iteration   9: 32649242.267 ops/s
Iteration  10: 32723773.254 ops/s
Iteration  11: 32638541.078 ops/s
Iteration  12: 32713873.884 ops/s
Iteration  13: 31927016.919 ops/s
Iteration  14: 30606608.834 ops/s
Iteration  15: 32640966.398 ops/s
Iteration  16: 32647074.019 ops/s
Iteration  17: 33108723.237 ops/s
Iteration  18: 32810526.557 ops/s
Iteration  19: 30760359.683 ops/s
Iteration  20: 29976936.867 ops/s

# Run progress: 22.00% complete, ETA 00:26:16
# Fork: 2 of 10
# Warmup Iteration   1: 27735920.573 ops/s
# Warmup Iteration   2: 29324244.653 ops/s
# Warmup Iteration   3: 30475803.078 ops/s
# Warmup Iteration   4: 29839116.384 ops/s
# Warmup Iteration   5: 30318818.087 ops/s
# Warmup Iteration   6: 30996112.145 ops/s
# Warmup Iteration   7: 30328220.090 ops/s
# Warmup Iteration   8: 27264998.300 ops/s
# Warmup Iteration   9: 27350836.010 ops/s
# Warmup Iteration  10: 29802828.744 ops/s
# Warmup Iteration  11: 29000123.863 ops/s
# Warmup Iteration  12: 27372676.490 ops/s
# Warmup Iteration  13: 29780770.315 ops/s
# Warmup Iteration  14: 32478384.712 ops/s
# Warmup Iteration  15: 30526024.584 ops/s
# Warmup Iteration  16: 29823078.798 ops/s
# Warmup Iteration  17: 30486257.493 ops/s
